,latitude,longitude,hour_of_day,day_of_week,Month,parent_incident_type,Council Districts
203,42.938458061203,-78.8403062701915,4.0,Wednesday,8.0,Breaking & Entering,9.0
204,42.9432363202256,-78.7998785991621,17.0,Tuesday,9.0,Theft,8.0
205,42.892302147448,-78.8762377105742,8.0,Wednesday,9.0,Theft,4.0
206,42.901377850935894,-78.88923166827429,15.0,Wednesday,6.0,Theft,3.0
207,42.8737389276373,-78.8711508898555,16.0,Sunday,11.0,Theft,5.0
208,42.947616196674,-78.90765031014509,15.0,Thursday,12.0,Breaking & Entering,1.0
209,42.8867116461148,-78.8624424201383,15.0,Sunday,9.0,Theft,4.0
210,42.87066138337671,-78.8596213806748,17.0,Wednesday,11.0,Robbery,5.0
211,42.9243916267759,-78.89195907336679,18.0,Friday,8.0,Assault,3.0
212,42.890893483831704,-78.8138560253025,0.0,Tuesday,7.0,Assault,2.0
213,42.9151371753608,-78.8874369461452,21.0,Sunday,7.0,Theft,3.0
214,42.9148871228145,-78.8151219270988,0.0,Sunday,1.0,Assault,5.0
215,42.9381366943141,-78.83966513278651,18.0,Tuesday,5.0,Theft,9.0
216,42.893044293074105,-78.8790382839042,3.0,Saturday,4.0,Assault,5.0
217,42.8980369702587,-78.80749145983971,19.0,Thursday,11.0,Theft,2.0
218,42.9436692182557,-78.906173007609,2.0,Sunday,7.0,Breaking & Entering,1.0
219,42.9523205027493,-78.9082614818223,20.0,Saturday,7.0,Robbery,1.0
220,42.95474939312739,-78.82627966295,21.0,Wednesday,11.0,Theft,8.0
221,42.932196631600206,-78.87680010393359,19.0,Monday,4.0,Theft,7.0
222,42.911317604227705,-78.8866304773129,20.0,Saturday,10.0,Robbery,3.0
223,42.8928734709812,-78.8781436138325,18.0,Thursday,10.0,Theft,5.0
224,42.92812,-78.86783,7.0,Thursday,8.0,Theft of Vehicle,7.0
225,42.9092037057371,-78.8801163721082,14.0,Friday,12.0,Breaking & Entering,3.0
226,42.944663565375706,-78.8541778754264,13.0,Monday,9.0,Theft,7.0
